Namespace(batch_size=128, class_mask=0.7, code_length=32, dataset='cub_bird', epoch=90, gpu_ids='3,4', lr=0.01, model_name='resnet18', random_seed=111)
epoch:1:  loss:9.8832,  MAP:0.0350
epoch:2:  loss:5.4440,  MAP:0.0825
epoch:3:  loss:3.6746,  MAP:0.1260
epoch:4:  loss:2.8074,  MAP:0.1915
epoch:5:  loss:2.2762,  MAP:0.2600
epoch:6:  loss:1.8720,  MAP:0.3212
epoch:7:  loss:1.5302,  MAP:0.3747
epoch:8:  loss:1.2656,  MAP:0.4490
epoch:9:  loss:1.1036,  MAP:0.5277
epoch:10:  loss:0.9497,  MAP:0.5585
epoch:11:  loss:0.8365,  MAP:0.6078
epoch:12:  loss:0.7162,  MAP:0.6414
epoch:13:  loss:0.6277,  MAP:0.6686
epoch:14:  loss:0.5516,  MAP:0.6845
epoch:15:  loss:0.4854,  MAP:0.6968
epoch:16:  loss:0.4406,  MAP:0.7083
epoch:17:  loss:0.3923,  MAP:0.7235
epoch:18:  loss:0.3532,  MAP:0.7262
epoch:19:  loss:0.3282,  MAP:0.7383
epoch:20:  loss:0.2994,  MAP:0.7375
epoch:21:  loss:0.2767,  MAP:0.7456
epoch:22:  loss:0.2564,  MAP:0.7527
epoch:23:  loss:0.2337,  MAP:0.7506
epoch:24:  loss:0.2200,  MAP:0.7515
epoch:25:  loss:0.2063,  MAP:0.7591
epoch:26:  loss:0.1835,  MAP:0.7589
epoch:27:  loss:0.1824,  MAP:0.7572
epoch:28:  loss:0.1768,  MAP:0.7571
epoch:29:  loss:0.1657,  MAP:0.7609
epoch:30:  loss:0.1597,  MAP:0.7581
epoch:31:  loss:0.1452,  MAP:0.7626
epoch:32:  loss:0.1326,  MAP:0.7625
epoch:33:  loss:0.1320,  MAP:0.7662
epoch:34:  loss:0.1345,  MAP:0.7651
epoch:35:  loss:0.1311,  MAP:0.7634
epoch:36:  loss:0.1303,  MAP:0.7694
epoch:37:  loss:0.1267,  MAP:0.7663
epoch:38:  loss:0.1253,  MAP:0.7678
epoch:39:  loss:0.1255,  MAP:0.7686
epoch:40:  loss:0.1246,  MAP:0.7675
epoch:41:  loss:0.1263,  MAP:0.7682
epoch:42:  loss:0.1240,  MAP:0.7688
epoch:43:  loss:0.1205,  MAP:0.7712
epoch:44:  loss:0.1213,  MAP:0.7705
epoch:45:  loss:0.1200,  MAP:0.7672
epoch:46:  loss:0.1170,  MAP:0.7688
epoch:47:  loss:0.1160,  MAP:0.7703
epoch:48:  loss:0.1161,  MAP:0.7715
epoch:49:  loss:0.1169,  MAP:0.7713
epoch:50:  loss:0.1148,  MAP:0.7701
epoch:51:  loss:0.1165,  MAP:0.7698
epoch:52:  loss:0.1148,  MAP:0.7706
epoch:53:  loss:0.1133,  MAP:0.7730
epoch:54:  loss:0.1163,  MAP:0.7697
epoch:55:  loss:0.1123,  MAP:0.7692
epoch:56:  loss:0.1135,  MAP:0.7732
epoch:57:  loss:0.1107,  MAP:0.7679
epoch:58:  loss:0.1138,  MAP:0.7707
epoch:59:  loss:0.1135,  MAP:0.7702
epoch:60:  loss:0.1114,  MAP:0.7711
epoch:61:  loss:0.1130,  MAP:0.7748
epoch:62:  loss:0.1134,  MAP:0.7706
epoch:63:  loss:0.1128,  MAP:0.7721
epoch:64:  loss:0.1086,  MAP:0.7703
epoch:65:  loss:0.1092,  MAP:0.7716
epoch:66:  loss:0.1095,  MAP:0.7679
epoch:67:  loss:0.1089,  MAP:0.7718
epoch:68:  loss:0.1069,  MAP:0.7691
epoch:69:  loss:0.1095,  MAP:0.7703
epoch:70:  loss:0.1090,  MAP:0.7686
epoch:71:  loss:0.1061,  MAP:0.7711
epoch:72:  loss:0.1123,  MAP:0.7722
epoch:73:  loss:0.1096,  MAP:0.7735
epoch:74:  loss:0.1116,  MAP:0.7697
epoch:75:  loss:0.1091,  MAP:0.7684
epoch:76:  loss:0.1081,  MAP:0.7690
epoch:77:  loss:0.1103,  MAP:0.7694
epoch:78:  loss:0.1105,  MAP:0.7699
epoch:79:  loss:0.1090,  MAP:0.7724
epoch:80:  loss:0.1083,  MAP:0.7707
epoch:81:  loss:0.1068,  MAP:0.7705
epoch:82:  loss:0.1097,  MAP:0.7700
epoch:83:  loss:0.1076,  MAP:0.7688
epoch:84:  loss:0.1093,  MAP:0.7689
epoch:85:  loss:0.1083,  MAP:0.7729
epoch:86:  loss:0.1104,  MAP:0.7705
epoch:87:  loss:0.1085,  MAP:0.7688
epoch:88:  loss:0.1058,  MAP:0.7711
epoch:89:  loss:0.1070,  MAP:0.7694
epoch:90:  loss:0.1088,  MAP:0.7714
